dag_id,arith,geom,weighted_arith,weighted_geom
W106H,3460.265625,3417.1920175215546,3516.3403505072515,3469.9604486614553
W107H,3282.8025141930248,3202.2158905713936,3314.774908439259,3232.813343922755
W108H,3146.9122807017543,3117.0633307398484,3180.1270354226162,3148.1158650411394
Y101H,3514.8333333333335,3435.504552113452,3491.5243939241527,3410.776201173432
Y106H,3389.5405405405404,3294.1951014317697,3368.0428120169368,3279.4169140886393
Y107H,4565.8421052631575,4422.065378469343,4567.2598408855065,4418.720691906188
Y108H,3681,3681.0000000000005,3681,3681.0000000000005
Y109H,4193.307692307692,4148.631145113337,4216.325021829824,4169.344662814452
Y110H,2856.6521739130435,2725.6949817331774,2741.2780760626397,2615.9989291426295
Y114H,3419.6,3328.092675072017,3438.312141453831,3352.4881913103045
Y120H,3154.181818181818,2856.2977550840274,3185.5851908230943,2905.62891143277
Y144H,2239.7729999999997,1849.5419287504778,2277.2510938125224,1912.3295050691274
Y146H,3168.5274806344514,2635.8548290373365,3173.4319979319093,2652.694852524364
Y177C,5206,5205.999999999995,5206,5205.999999999995
Z102H,4141.063224446787,4003.758007702415,4205.018753636901,4070.010319611514
